myFinalAssignmentAnnoatatedWithData1	myFinalAssignmentAnnoatatedWithData2	myFinalAssignmentAnnoatatedWithData3	myFinalAssignmentAnnoatatedWithData4	myFinalAssignmentAnnoatatedWithData5	myFinalAssignmentAnnoatatedWithData6	myFinalAssignmentAnnoatatedWithData7	myFinalAssignmentAnnoatatedWithData8	myFinalAssignmentAnnoatatedWithData9	myFinalAssignmentAnnoatatedWithData10	myFinalAssignmentAnnoatatedWithData11	myFinalAssignmentAnnoatatedWithData12	myFinalAssignmentAnnoatatedWithData13	myFinalAssignmentAnnoatatedWithData14	myFinalAssignmentAnnoatatedWithData15	myFinalAssignmentAnnoatatedWithData16	myFinalAssignmentAnnoatatedWithData17	myFinalAssignmentAnnoatatedWithData18	myFinalAssignmentAnnoatatedWithData19	myFinalAssignmentAnnoatatedWithData20	myFinalAssignmentAnnoatatedWithData21	myFinalAssignmentAnnoatatedWithData22	myFinalAssignmentAnnoatatedWithData23	myFinalAssignmentAnnoatatedWithData24	myFinalAssignmentAnnoatatedWithData25	myFinalAssignmentAnnoatatedWithData26	myFinalAssignmentAnnoatatedWithData27	myFinalAssignmentAnnoatatedWithData28	myFinalAssignmentAnnoatatedWithData29	myFinalAssignmentAnnoatatedWithData30	myFinalAssignmentAnnoatatedWithData31	myFinalAssignmentAnnoatatedWithData32	myFinalAssignmentAnnoatatedWithData33	myFinalAssignmentAnnoatatedWithData34	myFinalAssignmentAnnoatatedWithData35	myFinalAssignmentAnnoatatedWithData36	myFinalAssignmentAnnoatatedWithData37	myFinalAssignmentAnnoatatedWithData38	myFinalAssignmentAnnoatatedWithData39	myFinalAssignmentAnnoatatedWithData40	myFinalAssignmentAnnoatatedWithData41	myFinalAssignmentAnnoatatedWithData42	myFinalAssignmentAnnoatatedWithData43	myFinalAssignmentAnnoatatedWithData44	myFinalAssignmentAnnoatatedWithData45	myFinalAssignmentAnnoatatedWithData46	myFinalAssignmentAnnoatatedWithData47	myFinalAssignmentAnnoatatedWithData48	myFinalAssignmentAnnoatatedWithData49	myFinalAssignmentAnnoatatedWithData50	myFinalAssignmentAnnoatatedWithData51	myFinalAssignmentAnnoatatedWithData52	myFinalAssignmentAnnoatatedWithData53	myFinalAssignmentAnnoatatedWithData54	myFinalAssignmentAnnoatatedWithData55	myFinalAssignmentAnnoatatedWithData56	myFinalAssignmentAnnoatatedWithData57	myFinalAssignmentAnnoatatedWithData58	myFinalAssignmentAnnoatatedWithData59	myFinalAssignmentAnnoatatedWithData60	myFinalAssignmentAnnoatatedWithData61	myFinalAssignmentAnnoatatedWithData62	myFinalAssignmentAnnoatatedWithData63	myFinalAssignmentAnnoatatedWithData64	myFinalAssignmentAnnoatatedWithData65	myFinalAssignmentAnnoatatedWithData66	myFinalAssignmentAnnoatatedWithData67	myFinalAssignmentAnnoatatedWithData68	myFinalAssignmentAnnoatatedWithData69	myFinalAssignmentAnnoatatedWithData70	myFinalAssignmentAnnoatatedWithData71	myFinalAssignmentAnnoatatedWithData72	myFinalAssignmentAnnoatatedWithData73	myFinalAssignmentAnnoatatedWithData74	myFinalAssignmentAnnoatatedWithData75	myFinalAssignmentAnnoatatedWithData76	myFinalAssignmentAnnoatatedWithData77	myFinalAssignmentAnnoatatedWithData78	myFinalAssignmentAnnoatatedWithData79	myFinalAssignmentAnnoatatedWithData80	myFinalAssignmentAnnoatatedWithData81	myFinalAssignmentAnnoatatedWithData82	myFinalAssignmentAnnoatatedWithData83	myFinalAssignmentAnnoatatedWithData84	myFinalAssignmentAnnoatatedWithData85	myFinalAssignmentAnnoatatedWithData86	myFinalAssignmentAnnoatatedWithData87	myFinalAssignmentAnnoatatedWithData88	myFinalAssignmentAnnoatatedWithData89	myFinalAssignmentAnnoatatedWithData90	myFinalAssignmentAnnoatatedWithData91	myFinalAssignmentAnnoatatedWithData92	myFinalAssignmentAnnoatatedWithData93	myFinalAssignmentAnnoatatedWithData94	myFinalAssignmentAnnoatatedWithData95	myFinalAssignmentAnnoatatedWithData96	myFinalAssignmentAnnoatatedWithData97	myFinalAssignmentAnnoatatedWithData98	myFinalAssignmentAnnoatatedWithData99	myFinalAssignmentAnnoatatedWithData100	myFinalAssignmentAnnoatatedWithData101	myFinalAssignmentAnnoatatedWithData102	myFinalAssignmentAnnoatatedWithData103	myFinalAssignmentAnnoatatedWithData104	myFinalAssignmentAnnoatatedWithData105	myFinalAssignmentAnnoatatedWithData106	myFinalAssignmentAnnoatatedWithData107	myFinalAssignmentAnnoatatedWithData108	myFinalAssignmentAnnoatatedWithData109	myFinalAssignmentAnnoatatedWithData110	myFinalAssignmentAnnoatatedWithData111	myFinalAssignmentAnnoatatedWithData112	myFinalAssignmentAnnoatatedWithData113	myFinalAssignmentAnnoatatedWithData114	myFinalAssignmentAnnoatatedWithData115	myFinalAssignmentAnnoatatedWithData116	myFinalAssignmentAnnoatatedWithData117	myFinalAssignmentAnnoatatedWithData118	myFinalAssignmentAnnoatatedWithData119	myFinalAssignmentAnnoatatedWithData120	myFinalAssignmentAnnoatatedWithData121	myFinalAssignmentAnnoatatedWithData122	myFinalAssignmentAnnoatatedWithData123	myFinalAssignmentAnnoatatedWithData124	myFinalAssignmentAnnoatatedWithData125	myFinalAssignmentAnnoatatedWithData126	myFinalAssignmentAnnoatatedWithData127	myFinalAssignmentAnnoatatedWithData128	myFinalAssignmentAnnoatatedWithData129	myFinalAssignmentAnnoatatedWithData130	myFinalAssignmentAnnoatatedWithData131	myFinalAssignmentAnnoatatedWithData132	myFinalAssignmentAnnoatatedWithData133	myFinalAssignmentAnnoatatedWithData134	myFinalAssignmentAnnoatatedWithData135	myFinalAssignmentAnnoatatedWithData136	myFinalAssignmentAnnoatatedWithData137	myFinalAssignmentAnnoatatedWithData138	myFinalAssignmentAnnoatatedWithData139	myFinalAssignmentAnnoatatedWithData140	myFinalAssignmentAnnoatatedWithData141	myFinalAssignmentAnnoatatedWithData142
Simulated_feature_group_A_106	1	179	144	194	70	89	78	190	93	95	95	168	135	118	117	169	120	95	111	113	145	117	86	158	112	132	110	187	108	212	188	87	105	82	121	73	736	465	597	415	333	531	702	769	462	602	639	408	306	740	507	570	883	573	1189	507	266	671	426	427	429	408	617	582	572	572	391	645	513	438	526	3707	4558	4965	3154	4360	5645	2999	5530	6724	3151	4274	4754	3301	2409	2508	3656	2814	4859	5282	5640	3195	4330	2066	5533	4892	3762	2053	5101	1725	4489	2871	4611	2792	5201	5280	23392	31397	25754	44905	26896	42612	25935	28028	52564	25599	24523	19603	41171	31799	25007	35891	33592	23472	36702	32132	34593	27481	18096	24719	42970	35415	70623	42584	52937	32680	25131	31462	35709	50748	39239
Simulated_feature_group_A_121	4	16	1	7	3	1	27	2	1	0	32	0	5	0	5	0	0	5	27	2	2	12	11	0	23	0	20	0	10	0	2	15	0	0	1	2	21	4	12	8	0	42	5	19	44	1	2	105	25	58	22	14	93	59	0	2	16	34	0	0	57	5	3	4	44	2	8	5	0	7	0	25	218	3	86	41	556	0	7	399	237	6	0	64	425	960	306	3	1022	165	214	4	65	45	114	190	1141	110	45	28	132	83	1	212	20	215	184	565	2799	1	2245	4184	10	7	959	0	1801	1328	8312	594	11	714	437	67	6757	564	6116	1115	3146	333	12748	153	150	13506	201	1566	1120	14	269	223	926
Simulated_feature_group_B_19	5	13431	19912	13692	2135	24407	1625	25168	5748	5266	6706	14360	22002	18845	15011	26621	1619	13212	17415	3451	1971	12609	34578	11785	3799	21878	1396	9328	33208	1071	5706	7245	9296	11615	4343	21704	2104	635	5623	473	21	1447	726	396	107	321	2099	2058	938	910	1068	1420	572	695	689	982	808	2562	1620	679	70	597	1362	227	1171	248	68	1210	813	3047	655	109	180	519	441	203	60	26	250	177	135	24	87	293	60	29	311	128	220	205	106	116	52	623	317	88	330	130	137	372	530	155	105	74	389	7	22	1	47	0	3	17	30	89	0	20	116	164	98	29	15	72	18	123	78	39	10	26	16	10	34	32	77	0	20	117	38	84	69	3	5
Simulated_feature_group_B_25	5	172	81	4734	3313	4459	965	7515	755	9770	1766	10793	14963	30620	1093	12052	20574	3157	2661	6463	5776	1419	22521	4446	10556	1059	920	5442	13018	1789	773	226	4394	3993	15093	162	429	924	19	734	503	784	1312	2095	1235	234	33	3758	270	60	49	457	553	4	66	202	954	245	621	326	2	2312	56	423	136	0	338	5308	2194	1092	11	314	93	1	3	25	82	122	4	420	6	270	195	158	240	141	0	22	70	111	83	437	104	93	239	18	101	16	1	590	10	108	39	252	44	137	11	1	0	8	18	11	52	0	23	7	36	5	43	22	19	2	12	2	24	11	7	18	14	32	2	72	187	0	0	17	17	0	9	23	17
Simulated_feature_group_B_92	5	1579	6889	4845	1050	9763	6001	9414	7294	3306	9197	9878	5686	4430	24543	13138	2706	8699	2384	704	2649	5487	5080	5507	6219	6428	5741	17879	6245	6747	2004	7326	7517	3572	1256	3328	893	2854	361	37	59	267	537	293	127	774	13	60	754	606	430	340	312	441	614	747	870	825	1463	82	1030	945	1004	1388	93	1264	445	1063	327	1183	1140	129	19	6	10	130	290	48	35	143	27	77	48	141	51	81	160	101	96	87	1	31	118	56	118	56	20	95	40	295	15	7	77	26	108	41	18	9	4	17	20	27	23	8	4	9	32	14	32	30	3	1	21	32	18	10	4	23	40	19	42	22	11	6	21	31	28	41	42	17	2
Simulated_feature_group_B_139	5	44453	10498	13585	6279	9607	24960	27586	9760	20548	16329	35919	17804	10385	15290	26095	12990	33220	34119	24480	15121	15506	28724	20001	34820	7686	17208	12003	39754	18720	23125	19399	3875	6626	7966	8227	1583	1346	701	1271	2231	730	2244	2034	1110	2032	220	818	229	1684	1205	1142	1681	2052	541	2255	2451	2388	1190	1857	2924	1777	1319	1613	386	2311	666	836	1989	901	450	528	397	305	188	63	592	133	153	397	431	733	153	396	563	395	64	215	189	708	198	466	225	435	326	170	231	54	291	203	263	239	119	225	156	217	60	98	26	42	101	45	19	22	67	35	97	50	175	86	34	30	55	54	28	65	75	30	32	49	55	31	13	57	40	44	35	29	45	45	34
Simulated_feature_group_B_163	5	10467	1213	7312	4800	2626	481	3117	7756	6583	3242	13158	8351	557	7211	975	2241	1708	2238	2256	3605	4878	813	3970	2975	2439	877	1403	3826	7897	9751	8928	3351	2446	782	1048	333	2037	426	434	23	319	117	1025	1504	811	113	70	151	1354	387	493	1707	223	63	298	421	536	204	486	885	324	1225	138	80	528	917	34	134	633	237	63	108	28	90	116	114	1	44	51	140	67	78	49	15	7	46	246	66	21	89	46	200	21	35	57	30	108	122	141	123	20	93	83	79	160	20	1	14	1	2	10	36	11	20	6	13	7	14	3	18	25	7	15	26	15	5	11	5	8	13	18	4	3	29	13	13	36	12	32	6
Simulated_feature_group_B_169	5	2625	5685	3674	1609	4432	4833	2902	1640	3508	1512	5270	3477	818	4068	5789	1833	775	7060	2923	3157	1002	2373	2427	3866	1293	2898	1626	842	7070	2243	500	8983	2220	975	5260	602	540	126	316	159	323	479	271	239	231	288	253	238	259	91	172	411	202	299	350	148	513	264	782	389	178	223	311	355	247	490	350	342	346	137	35	70	23	45	48	57	26	72	41	52	52	42	27	56	12	56	54	107	58	32	32	32	12	28	43	104	39	37	32	30	32	39	27	27	60	2	6	11	6	9	7	2	5	10	12	5	6	6	26	10	3	3	7	15	3	7	7	6	11	11	13	4	2	10	17	1	5	16	10	13
Simulated_feature_group_B_182	5	28387	29382	18069	8356	14434	27206	13848	19786	13091	40492	43815	26791	23938	15336	28048	26616	53720	27115	27588	25710	30298	29092	16206	39918	38960	60114	26041	15930	8511	17180	34285	30127	19411	26060	20416	2069	1593	2605	3115	1869	2433	3007	3347	1186	2612	4040	1029	2145	1207	3892	1488	1897	3549	1793	1848	1823	2403	2332	4005	4399	6402	3499	1463	4077	2811	3232	2196	1235	2309	2955	309	209	613	394	417	319	562	331	341	334	484	404	639	411	842	702	290	586	597	639	296	465	437	540	462	606	255	533	452	403	302	406	385	334	464	42	87	88	61	81	57	73	89	134	50	55	61	83	91	99	64	34	64	49	42	63	93	18	66	62	111	87	86	71	77	76	50	126	64	25
Simulated_feature_group_B_192	5	3412	4147	6895	1854	1804	3759	3943	1382	4049	3946	1566	2349	4439	180	8576	2096	2011	2801	1012	1885	6119	4923	571	2547	1601	405	1225	3375	5370	1554	6069	4645	2540	7026	3946	147	273	394	279	298	212	145	195	43	89	88	502	293	609	294	84	801	276	81	397	104	337	662	176	845	62	288	129	422	140	235	598	184	566	339	35	81	113	3	26	45	31	52	26	3	44	60	100	13	37	81	39	11	73	25	40	24	35	52	36	59	93	44	40	46	23	15	48	70	8	4	2	6	4	3	5	3	7	3	19	20	9	4	8	7	3	3	6	4	1	13	14	5	20	7	0	18	21	5	3	3	11	9	4	11
Simulated_feature_group_C_03	4	6	12	3	14	21	51	37	16	11	14	19	2	30	18	16	54	33	24	59	9	10	12	45	15	38	16	31	18	20	16	6	3	9	52	9	128	30	225	170	92	53	74	156	99	230	57	240	63	14	43	128	119	142	73	179	207	28	83	12	95	159	77	332	106	42	67	41	171	69	25	10125	14817	13099	5679	2743	6264	13081	9482	17537	3596	11712	6082	29385	3744	664	6800	16931	15314	945	10681	6597	11173	5610	14752	2445	2384	6174	2919	9826	2067	7713	8093	960	3106	4326	424	842	52	585	449	525	424	975	157	1464	934	1091	233	64	287	368	809	1124	241	536	571	377	360	1544	111	343	563	601	736	51	246	1310	140	225	1271
Simulated_feature_group_C_07	1	40	76	43	52	80	93	65	52	100	58	42	52	73	53	36	70	59	108	87	38	90	62	29	47	58	51	30	35	41	33	41	50	50	62	54	189	204	268	219	253	226	198	273	179	214	232	236	227	255	244	212	305	370	208	313	364	245	225	234	291	146	250	185	332	211	239	423	362	397	104	15549	25560	18316	18924	17226	8178	10365	17959	17491	23693	11050	15942	17382	14487	24141	20445	13488	25357	22071	28223	18893	13891	22317	26199	25403	22015	22049	15422	27211	21803	19056	14286	22085	16376	13072	1197	1763	1212	1794	1815	1280	1354	1765	994	751	1743	1332	1442	1660	1764	1237	1229	1043	1217	1222	1075	1014	1044	1142	930	1283	1283	1412	937	1615	1513	1723	1134	1559	3207
