myFinalAssignmentAnnoatatedWithData1	myFinalAssignmentAnnoatatedWithData2	myFinalAssignmentAnnoatatedWithData3	myFinalAssignmentAnnoatatedWithData4	myFinalAssignmentAnnoatatedWithData5	myFinalAssignmentAnnoatatedWithData6	myFinalAssignmentAnnoatatedWithData7	myFinalAssignmentAnnoatatedWithData8	myFinalAssignmentAnnoatatedWithData9	myFinalAssignmentAnnoatatedWithData10	myFinalAssignmentAnnoatatedWithData11	myFinalAssignmentAnnoatatedWithData12	myFinalAssignmentAnnoatatedWithData13	myFinalAssignmentAnnoatatedWithData14	myFinalAssignmentAnnoatatedWithData15	myFinalAssignmentAnnoatatedWithData16	myFinalAssignmentAnnoatatedWithData17	myFinalAssignmentAnnoatatedWithData18	myFinalAssignmentAnnoatatedWithData19	myFinalAssignmentAnnoatatedWithData20	myFinalAssignmentAnnoatatedWithData21	myFinalAssignmentAnnoatatedWithData22	myFinalAssignmentAnnoatatedWithData23	myFinalAssignmentAnnoatatedWithData24	myFinalAssignmentAnnoatatedWithData25	myFinalAssignmentAnnoatatedWithData26	myFinalAssignmentAnnoatatedWithData27	myFinalAssignmentAnnoatatedWithData28	myFinalAssignmentAnnoatatedWithData29	myFinalAssignmentAnnoatatedWithData30	myFinalAssignmentAnnoatatedWithData31	myFinalAssignmentAnnoatatedWithData32	myFinalAssignmentAnnoatatedWithData33	myFinalAssignmentAnnoatatedWithData34	myFinalAssignmentAnnoatatedWithData35	myFinalAssignmentAnnoatatedWithData36	myFinalAssignmentAnnoatatedWithData37	myFinalAssignmentAnnoatatedWithData38	myFinalAssignmentAnnoatatedWithData39	myFinalAssignmentAnnoatatedWithData40	myFinalAssignmentAnnoatatedWithData41	myFinalAssignmentAnnoatatedWithData42	myFinalAssignmentAnnoatatedWithData43	myFinalAssignmentAnnoatatedWithData44	myFinalAssignmentAnnoatatedWithData45	myFinalAssignmentAnnoatatedWithData46	myFinalAssignmentAnnoatatedWithData47	myFinalAssignmentAnnoatatedWithData48	myFinalAssignmentAnnoatatedWithData49	myFinalAssignmentAnnoatatedWithData50	myFinalAssignmentAnnoatatedWithData51	myFinalAssignmentAnnoatatedWithData52	myFinalAssignmentAnnoatatedWithData53	myFinalAssignmentAnnoatatedWithData54	myFinalAssignmentAnnoatatedWithData55	myFinalAssignmentAnnoatatedWithData56	myFinalAssignmentAnnoatatedWithData57	myFinalAssignmentAnnoatatedWithData58	myFinalAssignmentAnnoatatedWithData59	myFinalAssignmentAnnoatatedWithData60	myFinalAssignmentAnnoatatedWithData61	myFinalAssignmentAnnoatatedWithData62	myFinalAssignmentAnnoatatedWithData63	myFinalAssignmentAnnoatatedWithData64	myFinalAssignmentAnnoatatedWithData65	myFinalAssignmentAnnoatatedWithData66	myFinalAssignmentAnnoatatedWithData67	myFinalAssignmentAnnoatatedWithData68	myFinalAssignmentAnnoatatedWithData69	myFinalAssignmentAnnoatatedWithData70	myFinalAssignmentAnnoatatedWithData71	myFinalAssignmentAnnoatatedWithData72	myFinalAssignmentAnnoatatedWithData73	myFinalAssignmentAnnoatatedWithData74	myFinalAssignmentAnnoatatedWithData75	myFinalAssignmentAnnoatatedWithData76	myFinalAssignmentAnnoatatedWithData77	myFinalAssignmentAnnoatatedWithData78	myFinalAssignmentAnnoatatedWithData79	myFinalAssignmentAnnoatatedWithData80	myFinalAssignmentAnnoatatedWithData81	myFinalAssignmentAnnoatatedWithData82	myFinalAssignmentAnnoatatedWithData83	myFinalAssignmentAnnoatatedWithData84	myFinalAssignmentAnnoatatedWithData85	myFinalAssignmentAnnoatatedWithData86	myFinalAssignmentAnnoatatedWithData87	myFinalAssignmentAnnoatatedWithData88	myFinalAssignmentAnnoatatedWithData89	myFinalAssignmentAnnoatatedWithData90	myFinalAssignmentAnnoatatedWithData91	myFinalAssignmentAnnoatatedWithData92	myFinalAssignmentAnnoatatedWithData93	myFinalAssignmentAnnoatatedWithData94	myFinalAssignmentAnnoatatedWithData95	myFinalAssignmentAnnoatatedWithData96	myFinalAssignmentAnnoatatedWithData97	myFinalAssignmentAnnoatatedWithData98	myFinalAssignmentAnnoatatedWithData99	myFinalAssignmentAnnoatatedWithData100	myFinalAssignmentAnnoatatedWithData101	myFinalAssignmentAnnoatatedWithData102	myFinalAssignmentAnnoatatedWithData103	myFinalAssignmentAnnoatatedWithData104	myFinalAssignmentAnnoatatedWithData105	myFinalAssignmentAnnoatatedWithData106	myFinalAssignmentAnnoatatedWithData107	myFinalAssignmentAnnoatatedWithData108	myFinalAssignmentAnnoatatedWithData109	myFinalAssignmentAnnoatatedWithData110	myFinalAssignmentAnnoatatedWithData111	myFinalAssignmentAnnoatatedWithData112	myFinalAssignmentAnnoatatedWithData113	myFinalAssignmentAnnoatatedWithData114	myFinalAssignmentAnnoatatedWithData115	myFinalAssignmentAnnoatatedWithData116	myFinalAssignmentAnnoatatedWithData117	myFinalAssignmentAnnoatatedWithData118	myFinalAssignmentAnnoatatedWithData119	myFinalAssignmentAnnoatatedWithData120	myFinalAssignmentAnnoatatedWithData121	myFinalAssignmentAnnoatatedWithData122	myFinalAssignmentAnnoatatedWithData123	myFinalAssignmentAnnoatatedWithData124	myFinalAssignmentAnnoatatedWithData125	myFinalAssignmentAnnoatatedWithData126	myFinalAssignmentAnnoatatedWithData127	myFinalAssignmentAnnoatatedWithData128	myFinalAssignmentAnnoatatedWithData129	myFinalAssignmentAnnoatatedWithData130	myFinalAssignmentAnnoatatedWithData131	myFinalAssignmentAnnoatatedWithData132	myFinalAssignmentAnnoatatedWithData133	myFinalAssignmentAnnoatatedWithData134	myFinalAssignmentAnnoatatedWithData135	myFinalAssignmentAnnoatatedWithData136	myFinalAssignmentAnnoatatedWithData137	myFinalAssignmentAnnoatatedWithData138	myFinalAssignmentAnnoatatedWithData139	myFinalAssignmentAnnoatatedWithData140	myFinalAssignmentAnnoatatedWithData141	myFinalAssignmentAnnoatatedWithData142
Simulated_feature_group_B_163	5	10467	1213	7312	4800	2626	481	3117	7756	6583	3242	13158	8351	557	7211	975	2241	1708	2238	2256	3605	4878	813	3970	2975	2439	877	1403	3826	7897	9751	8928	3351	2446	782	1048	333	2037	426	434	23	319	117	1025	1504	811	113	70	151	1354	387	493	1707	223	63	298	421	536	204	486	885	324	1225	138	80	528	917	34	134	633	237	63	108	28	90	116	114	1	44	51	140	67	78	49	15	7	46	246	66	21	89	46	200	21	35	57	30	108	122	141	123	20	93	83	79	160	20	1	14	1	2	10	36	11	20	6	13	7	14	3	18	25	7	15	26	15	5	11	5	8	13	18	4	3	29	13	13	36	12	32	6
Simulated_feature_group_B_169	5	2625	5685	3674	1609	4432	4833	2902	1640	3508	1512	5270	3477	818	4068	5789	1833	775	7060	2923	3157	1002	2373	2427	3866	1293	2898	1626	842	7070	2243	500	8983	2220	975	5260	602	540	126	316	159	323	479	271	239	231	288	253	238	259	91	172	411	202	299	350	148	513	264	782	389	178	223	311	355	247	490	350	342	346	137	35	70	23	45	48	57	26	72	41	52	52	42	27	56	12	56	54	107	58	32	32	32	12	28	43	104	39	37	32	30	32	39	27	27	60	2	6	11	6	9	7	2	5	10	12	5	6	6	26	10	3	3	7	15	3	7	7	6	11	11	13	4	2	10	17	1	5	16	10	13
Simulated_feature_group_B_192	5	3412	4147	6895	1854	1804	3759	3943	1382	4049	3946	1566	2349	4439	180	8576	2096	2011	2801	1012	1885	6119	4923	571	2547	1601	405	1225	3375	5370	1554	6069	4645	2540	7026	3946	147	273	394	279	298	212	145	195	43	89	88	502	293	609	294	84	801	276	81	397	104	337	662	176	845	62	288	129	422	140	235	598	184	566	339	35	81	113	3	26	45	31	52	26	3	44	60	100	13	37	81	39	11	73	25	40	24	35	52	36	59	93	44	40	46	23	15	48	70	8	4	2	6	4	3	5	3	7	3	19	20	9	4	8	7	3	3	6	4	1	13	14	5	20	7	0	18	21	5	3	3	11	9	4	11
Simulated_feature_group_C_03	1	6	12	3	14	21	51	37	16	11	14	19	2	30	18	16	54	33	24	59	9	10	12	45	15	38	16	31	18	20	16	6	3	9	52	9	128	30	225	170	92	53	74	156	99	230	57	240	63	14	43	128	119	142	73	179	207	28	83	12	95	159	77	332	106	42	67	41	171	69	25	10125	14817	13099	5679	2743	6264	13081	9482	17537	3596	11712	6082	29385	3744	664	6800	16931	15314	945	10681	6597	11173	5610	14752	2445	2384	6174	2919	9826	2067	7713	8093	960	3106	4326	424	842	52	585	449	525	424	975	157	1464	934	1091	233	64	287	368	809	1124	241	536	571	377	360	1544	111	343	563	601	736	51	246	1310	140	225	1271
Simulated_feature_group_C_07	1	40	76	43	52	80	93	65	52	100	58	42	52	73	53	36	70	59	108	87	38	90	62	29	47	58	51	30	35	41	33	41	50	50	62	54	189	204	268	219	253	226	198	273	179	214	232	236	227	255	244	212	305	370	208	313	364	245	225	234	291	146	250	185	332	211	239	423	362	397	104	15549	25560	18316	18924	17226	8178	10365	17959	17491	23693	11050	15942	17382	14487	24141	20445	13488	25357	22071	28223	18893	13891	22317	26199	25403	22015	22049	15422	27211	21803	19056	14286	22085	16376	13072	1197	1763	1212	1794	1815	1280	1354	1765	994	751	1743	1332	1442	1660	1764	1237	1229	1043	1217	1222	1075	1014	1044	1142	930	1283	1283	1412	937	1615	1513	1723	1134	1559	3207
Simulated_feature_group_C_48	1	117	77	64	215	100	87	98	102	108	107	193	165	133	122	122	127	163	103	195	123	120	81	172	124	160	115	129	92	123	162	81	81	212	107	127	393	802	376	683	804	702	1153	270	556	385	531	514	651	267	689	627	564	548	367	530	567	282	520	281	429	469	731	554	618	874	599	439	1006	548	1073	51155	52260	55243	55174	47204	56875	25318	42030	52025	37601	29284	55089	27404	62985	68756	46420	73926	28249	41537	44592	66806	54362	45000	58688	29108	56944	30236	65718	27239	60500	21347	57842	45894	46346	31992	1869	3138	2526	3530	4472	3050	2237	2483	2108	4366	4373	5037	3338	3611	2848	4626	2159	2193	4773	3627	2634	2151	4423	3162	5224	2060	4780	1627	4844	4006	2965	2760	3910	6140	4977
Simulated_feature_group_C_118	1	10	50	26	20	20	30	66	84	1	30	15	62	201	70	125	21	50	98	59	23	4	119	76	23	32	5	20	53	15	17	70	22	30	27	30	28	73	25	108	170	673	48	10	126	203	108	138	249	288	303	606	280	260	484	59	145	227	21	593	495	281	43	53	439	42	367	139	85	305	148	1670	4001	4202	12556	19756	11979	15148	17616	3803	46466	8304	4916	10770	21856	24172	13946	21404	8706	13345	16847	35622	10977	2369	23080	11872	6332	9768	4234	1210	9882	39752	5385	4475	6546	3507	818	1526	262	4624	310	2196	2371	1868	44	1282	500	1413	908	786	1635	1899	1332	1131	237	352	1350	67	1899	716	79	300	522	292	1800	878	1342	27	1063	307	39
Simulated_feature_group_D_09	2	2	0	16	1	1	3	0	3	4	3	5	4	4	2	6	14	4	7	9	3	3	3	6	9	1	12	1	4	8	2	2	3	1	21	4	1423	2441	165	1221	127	4487	2126	181	1617	1876	3088	904	1815	2558	1574	599	532	1596	3248	557	1499	4786	3352	855	1451	820	962	444	2222	512	1258	1558	1765	1271	1081	67	54	75	43	8	105	106	292	166	96	79	121	35	26	91	87	71	265	65	275	69	128	105	216	269	48	35	163	135	147	72	46	79	134	63	26	11	5	3	17	11	11	13	0	11	40	10	24	20	43	9	10	13	11	5	23	19	6	1	2	45	36	16	7	17	5	25	14	25	11
Simulated_feature_group_D_20	2	164	89	96	100	14	32	5	28	158	106	178	55	70	23	37	76	72	60	53	30	29	55	168	71	33	38	41	51	30	16	234	9	127	30	206	4235	8733	13541	7454	7677	7251	25085	533	37894	16220	526	8193	31901	12770	4066	8277	23869	21800	19754	24427	10851	13656	10631	14512	15533	10241	11188	8779	9711	3124	7798	17831	20850	19308	10324	212	1562	319	2523	1872	5451	1849	3876	576	2177	668	614	1833	2373	1065	421	3505	1164	499	407	853	2290	305	1648	861	320	573	2326	712	2292	5586	1084	592	1525	1271	188	396	114	233	1365	20	265	273	28	302	193	59	562	150	382	210	652	0	31	48	31	299	415	595	199	97	588	182	405	392	276	118	45	197	304
Simulated_feature_group_D_22	2	17	4	23	51	31	14	21	0	55	28	3	24	3	59	20	42	5	4	45	3	2	42	34	4	27	31	2	20	8	35	19	2	8	6	20	13403	10899	10040	9062	3791	6003	7845	36675	8568	1399	31694	7444	1276	7007	7382	1020	23434	17308	6936	1863	2820	6065	15362	7957	1512	2140	8477	6303	4402	11691	1873	2621	7941	12006	4951	287	787	314	77	864	1025	1689	378	269	276	2047	1064	1153	4745	515	339	1583	65	1031	83	428	276	1214	2537	1739	13	1314	538	924	575	213	580	477	423	790	124	248	290	100	11	53	156	13	145	44	100	35	129	63	47	244	86	281	52	305	54	20	79	17	42	124	329	48	62	56	34	164	141	111	19
Simulated_feature_group_D_31	2	26	25	8	50	38	30	36	17	40	27	37	41	49	31	30	66	65	15	48	34	52	41	37	25	24	16	40	35	46	34	45	16	73	28	53	5263	13372	11214	11529	8158	11303	3677	11141	1948	14706	6327	11807	12906	17611	11381	8046	14070	21019	10162	13458	8681	8104	9332	11152	13380	14556	8370	7804	14278	11123	8120	13531	13918	13317	23986	1454	674	376	882	784	811	944	542	570	1254	699	298	686	554	890	1382	1014	409	817	1412	1386	1083	1514	438	910	1156	511	771	688	474	705	283	534	591	1516	243	86	88	74	67	184	66	188	69	141	139	117	95	153	153	161	35	40	131	149	169	49	100	109	258	131	70	148	131	116	168	97	128	173	71
Simulated_feature_group_D_51	2	47	35	40	27	22	34	74	60	17	27	24	40	32	26	27	46	50	66	12	43	30	87	25	39	60	42	22	53	21	42	18	62	31	40	28	15965	5785	15499	9343	11529	19237	19731	5901	21576	14401	5345	4977	15031	12663	8965	18375	12835	20300	7545	27306	23316	15625	8603	3568	11531	10398	14529	6988	33665	20428	10101	3945	11197	17231	7574	1241	316	735	1009	1066	430	928	986	439	721	457	453	1400	733	1950	630	804	771	1999	679	1097	819	917	596	553	678	843	1421	743	1218	1222	597	1588	1239	367	109	153	159	245	215	139	78	195	200	64	253	181	37	78	379	109	59	89	170	91	110	118	65	81	148	137	89	346	149	88	250	96	282	25	138
